"uniq_id","year","q1","q2y","ed","wc1","wc3","wc2","r4a","r5","r6","r12","r15","q5b","prov","municipio","municipio_label","colrecon6","colrecon7","colrecon8","colrecon18","centro","ur","l1","colpaz4a","colpaz6a","colpropaz5","colwc5","colwc6","colwc7","colwc8","colwc9","colpropaz6","coljp5","colconce1","colrecon3","colconce7","coldis35f","colrecon12","colpropaz11a","colpact1","colpropaz13k","coljepaa1","colconce6","prov_label","rebel_controlled"
16081275,2016,"Women",52,8,1,2,2,1,0,0,1,0,1,"818",818001,"FLORENCIA",8,NA,10,NA,1,1,8,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,7,2,NA,NA,NA,"Caquetá",1
16081258,2016,"Men",62,2,2,2,2,1,0,0,1,0,1,"805",805665,"SAN PEDRO DE URABA",5,NA,4,NA,0,1,1,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,7,7,NA,NA,NA,"Antioquia",0
16081445,2016,"Men",48,10,2,2,2,1,1,1,1,1,1,"868",868001,"BUCARAMANGA",NA,4,NA,5,0,1,8,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,"Santander",0
16080560,2016,"Men",34,18,2,2,2,1,1,1,1,1,4,"811",811001,"BOGOTA",10,NA,10,NA,0,1,5,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,6,5,NA,NA,NA,"Bogotá, D.C.",0
16080887,2016,"Women",52,18,2,2,2,1,1,1,1,1,2,"825",825307,"GIRARDOT",NA,10,NA,6,0,1,5,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,"Cundinamarca",1
16080993,2016,"Women",45,11,2,2,2,1,0,1,1,1,1,"811",811001,"BOGOTA",NA,10,NA,10,0,1,4,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Bogotá, D.C.",0
16080537,2016,"Women",35,18,2,2,2,1,1,1,1,1,1,"811",811001,"BOGOTA",3,NA,7,NA,1,1,10,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,3,7,NA,NA,NA,"Bogotá, D.C.",0
16080185,2016,"Men",31,17,1,2,1,1,1,1,1,1,1,"811",811001,"BOGOTA",NA,10,NA,9,NA,1,5,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Bogotá, D.C.",0
16080121,2016,"Women",52,16,2,2,2,1,1,1,1,1,1,"876",876001,"CALI",2,NA,5,NA,0,1,6,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,5,1,NA,NA,NA,"Valle del Cauca",1
16080284,2016,"Women",46,11,2,2,2,1,0,1,1,1,1,"811",811001,"BOGOTA",NA,4,NA,5,NA,1,5,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Bogotá, D.C.",0
16081477,2016,"Men",20,6,2,2,2,1,0,0,1,0,2,"811",811001,"BOGOTA",NA,2,NA,2,NA,1,6,2,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Bogotá, D.C.",0
16081038,2016,"Men",47,16,2,2,2,1,1,1,1,1,2,"811",811001,"BOGOTA",NA,8,NA,8,0,1,5,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Bogotá, D.C.",0
16081559,2016,"Women",28,11,2,2,2,1,0,0,1,0,2,"815",815176,"CHIQUINQUIRA",NA,NA,NA,NA,NA,1,4,NA,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boyacá",0
16081136,2016,"Men",33,5,1,2,2,1,0,1,1,0,2,"817",817272,"FILADELFIA",6,NA,8,NA,NA,1,2,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,6,5,NA,NA,NA,"Caldas",1
16081018,2016,"Women",48,11,2,2,2,1,0,1,1,1,1,"819",819585,"PURACE",7,NA,7,NA,NA,1,4,1,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,NA,"Cauca",1
16080931,2016,"Men",51,11,2,2,1,1,1,1,1,0,1,"819",819001,"POPAYAN",9,NA,9,NA,NA,1,1,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,0,NA,7,4,NA,NA,NA,"Cauca",1
16081064,2016,"Men",29,12,2,2,2,1,0,1,1,1,4,"811",811001,"BOGOTA",10,NA,10,NA,NA,1,4,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,"Bogotá, D.C.",0
16080720,2016,"Women",20,9,2,2,2,1,0,1,1,1,2,"811",811001,"BOGOTA",7,NA,8,NA,NA,1,7,2,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,4,2,NA,NA,NA,"Bogotá, D.C.",0
